experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host
SRX25195662,f4f_nnk_hCMEC-D3-binding_3,NNK library hCMEC Binding,SRS21884685,SRR29692524,196748364,3608496,NNK,Binding,hCMEC (b),Homo sapiens hCMEC/d3 cells
SRX25195661,f4f_nnk_hCMEC-D3-binding_2,NNK library hCMEC Binding,SRS21884685,SRR29692525,201164268,3720000,NNK,Binding,hCMEC (b),Homo sapiens hCMEC/d3 cells
SRX25195660,f4f_nnk_hCMEC-D3-binding_1,NNK library hCMEC Binding,SRS21884685,SRR29692526,209251344,3873751,NNK,Binding,hCMEC (b),Homo sapiens hCMEC/d3 cells
SRX25195659,f4f_nnk_HEK-binding_3,NNK library HEK293 Binding,SRS21884684,SRR29692527,176564008,3240331,NNK,Binding,HEK (b),Homo sapiens HEK293 cells
SRX25195658,f4f_nnk_HEK-binding_2,NNK library HEK293 Binding,SRS21884684,SRR29692528,132523042,2446600,NNK,Binding,HEK (b),Homo sapiens HEK293 cells
SRX25195657,KC-DNA-Shark2_2,Shark2 modeling library plasmid DNA,SRS21884662,SRR29692529,345431350,6026799,shark2,Plasmid DNA,missing,not applicable
SRX25195656,f4f_nnk_HEK-binding_1,NNK library HEK293 Binding,SRS21884684,SRR29692530,167147340,3092458,NNK,Binding,HEK (b),Homo sapiens HEK293 cells
SRX25195655,f4f_nnk_starter_virus_3,NNK library virus DNA,SRS21884683,SRR29692531,347335858,6424398,NNK,Virus DNA,missing,not applicable
SRX25195654,f4f_nnk_starter_virus_2,NNK library virus DNA,SRS21884683,SRR29692532,305403226,5589741,NNK,Virus DNA,missing,not applicable
SRX25195653,f4f_nnk_starter_virus_1,NNK library virus DNA,SRS21884683,SRR29692533,222855729,3973597,NNK,Virus DNA,missing,not applicable
SRX25195652,KC-Virus2-Shark3_3,Shark3 assessment library virus DNA,SRS21884673,SRR29692534,542919247,9367396,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195651,KC-Virus2-Shark3_2,Shark3 assessment library virus DNA,SRS21884673,SRR29692535,535611373,9230290,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195650,KC-Virus2-Shark3_1,Shark3 assessment library virus DNA,SRS21884673,SRR29692536,774053982,13422068,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195649,KC-Virus1-Shark3_3,Shark3 assessment library virus DNA,SRS21884673,SRR29692537,626403981,10821610,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195648,KC-Virus1-Shark3_2,Shark3 assessment library virus DNA,SRS21884673,SRR29692538,725990820,12308978,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195647,KC-Virus1-Shark3_1,Shark3 assessment library virus DNA,SRS21884673,SRR29692539,924387305,15790829,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195646,KC-DNA-Shark2_1,Shark2 modeling library plasmid DNA,SRS21884662,SRR29692540,379300678,6571930,shark2,Plasmid DNA,missing,not applicable
SRX25195645,IT-Virus2-Shark3_3,Shark3 assessment library virus DNA,SRS21884673,SRR29692541,838115173,14391084,shark3,Virus DNA,,Homo sapiens HEK293 cells
SRX25195644,octopus_starter_1_rerun,Multifunction library virus DNA,SRS21884682,SRR29692511,1047746021,20286162,Multifunction,Virus DNA,,Homo sapiens HEK293 cells
SRX25195643,octopus_DNA_3,Multifunction library plasmid DNA,SRS21884681,SRR29692543,813020045,13487513,Multifunction,Plasmid DNA,Production,not applicable
SRX25195642,octopus_DNA_2,Multifunction library plasmid DNA,SRS21884681,SRR29692544,752453404,12521451,Multifunction,Plasmid DNA,Production,not applicable
SRX25195641,octopus_DNA_1,Multifunction library plasmid DNA,SRS21884681,SRR29692545,1395603062,24382748,Multifunction,Plasmid DNA,Production,not applicable
SRX25195640,hammerhead_THLE_tr_r3,Hammerhead library THLE2 transduction,SRS21884680,SRR29692546,218431947,3644651,Hammerhead,Transduction,THLE2 (t),Homo sapiens THLE-2 cells
SRX25195639,IT-DNA-Shark3_1,Shark3 assessment library plasmid DNA,SRS21884672,SRR29692547,356053294,6126029,shark3,Plasmid DNA,missing,not applicable
SRX25195638,hammerhead_THLE_tr_r2,Hammerhead library THLE2 transduction,SRS21884680,SRR29692548,188886931,3126978,Hammerhead,Transduction,THLE2 (t),Homo sapiens THLE-2 cells
SRX25195637,hammerhead_THLE_tr_r1,Hammerhead library THLE2 transduction,SRS21884680,SRR29692549,224695642,3761459,Hammerhead,Transduction,THLE2 (t),Homo sapiens THLE-2 cells
SRX25195636,hammerhead_hepG2_Transduction_r3,Hammerhead library HEPG2 transduction,SRS21884679,SRR29692550,891410388,14509373,Hammerhead,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195635,hammerhead_hepG2_Transduction_r2,Hammerhead library HEPG2 transduction,SRS21884679,SRR29692551,1005308010,16197373,Hammerhead,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
SRX25195634,hammerhead_hepG2_Transduction_r1,Hammerhead library HEPG2 transduction,SRS21884679,SRR29692552,586606717,9477371,Hammerhead,Transduction,HEPG2 (t),Homo sapiens HepG2 cells
