experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host,project_role,fastq_url,fastq_md5,fastq_bytes
SRX25195598,hammerhead_SpinalCord_a1_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692588,211081225,3358864,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/088/SRR29692588/SRR29692588.fastq.gz,f4517d6b95ef043478a68f17ca92d0dd,178920613
SRX25195599,hammerhead_SpinalCord_a1_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692587,257692062,4127521,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/087/SRR29692587/SRR29692587.fastq.gz,c4762bdd70685817342f116604b6ee4f,215560784
SRX25195600,hammerhead_SpinalCord_a1_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692586,111186595,1787085,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/086/SRR29692586/SRR29692586.fastq.gz,d9bbf63bf1c40b8d7cfdb17f7aa1ea3a,92386737
SRX25195601,hammerhead_SpinalCord_a2_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692585,260707964,4210390,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/085/SRR29692585/SRR29692585.fastq.gz,fb7218931d5fbbffcf95e12b1a81645f,213183399
SRX25195602,hammerhead_SpinalCord_a2_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692584,279012975,4407374,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/084/SRR29692584/SRR29692584.fastq.gz,fb700ceb4bb7bcee4e7ea0b576b8112b,227002700
SRX25195603,hammerhead_SpinalCord_a2_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692583,204858070,3193319,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/083/SRR29692583/SRR29692583.fastq.gz,541274da8db54f97eadd1465dffa7d30,165446423
SRX25195604,hammerhead_SpinalCord_a3_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692582,176196482,2779944,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/082/SRR29692582/SRR29692582.fastq.gz,0f9731415796b434817ac90e431f4ffa,140062445
SRX25195605,hammerhead_SpinalCord_a3_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692581,161202394,2525917,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/081/SRR29692581/SRR29692581.fastq.gz,14231ac7d63b6ba9445d0ee15b422c80,126928377
SRX25195607,hammerhead_SpinalCord_a3_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692579,192850861,3067292,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/079/SRR29692579/SRR29692579.fastq.gz,c8c3c44ac0250675dfc8c5ce613ab5aa,163412281
SRX25195608,hammerhead_SpinalCord_a4_r1,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692578,252785813,4046360,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/078/SRR29692578/SRR29692578.fastq.gz,cac26478b5703a89b87b0eca2010228b,211729058
SRX25195609,hammerhead_SpinalCord_a4_r2,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692577,287885967,4624593,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/077/SRR29692577/SRR29692577.fastq.gz,21693f34d9c9c0cd43f5522d9d75bedc,238479519
SRX25195610,hammerhead_SpinalCord_a4_r3,Hammerhead library mouse spinal cord biodistributiobn,SRS21884674,SRR29692576,505827290,8172607,Hammerhead,Biodistribution,Spinal cord,Mus musculus,Spinal cord,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/076/SRR29692576/SRR29692576.fastq.gz,a72cd3d0516114636a6ad3ab8de87f12,412170767
SRX25195624,hammerhead_start_virus_prod3_r1,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692562,319767009,5219156,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/062/SRR29692562/SRR29692562.fastq.gz,db352380bb6c6111208662d882dcf33c,269833840
SRX25195625,hammerhead_start_virus_prod3_r2,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692561,372717841,6070071,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/061/SRR29692561/SRR29692561.fastq.gz,ed2df19f97f5b71e19bb8168fb74ec4e,314842942
SRX25195626,hammerhead_start_virus_prod3_r3,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692560,313947166,5130759,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/060/SRR29692560/SRR29692560.fastq.gz,c1a301d3aa24244210d7bcf47bf0965d,264716400
SRX25195485,hammerhead_starter_virus_prod1_1,Hammerhead library virus DNA,SRS21884656,SRR29692431,4097844077,75274294,Hammerhead,Virus DNA,,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/031/SRR29692431/SRR29692431.fastq.gz,3631109320b1bf5a3a5208b429860f53,2966570430
SRX25195486,hammerhead_starter_virus_prod1_2,Hammerhead library virus DNA,SRS21884656,SRR29692430,3792827088,70777352,Hammerhead,Virus DNA,,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/030/SRR29692430/SRR29692430.fastq.gz,951032611e9e00b0e50c668c67408a55,2768642242
SRX25195487,hammerhead_starter_virus_prod1_3,Hammerhead library virus DNA,SRS21884656,SRR29692429,4140431544,78784162,Hammerhead,Virus DNA,,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/029/SRR29692429/SRR29692429.fastq.gz,b5d965e166282ef3786ab43f855721bb,3041892739
SRX25195489,hammerhead_starter_virus_prod2_1,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692427,426493051,8124698,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/027/SRR29692427/SRR29692427.fastq.gz,278422eac1adb7ea83b0471b45ab292e,332877336
SRX25195490,hammerhead_starter_virus_prod2_2,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692426,403174887,7709092,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/026/SRR29692426/SRR29692426.fastq.gz,9bb53c8da050a15270296c518da930f3,313971799
SRX25195491,hammerhead_starter_virus_prod2_3,Hammerhead library production round 2 virus DNA,SRS21884658,SRR29692425,420675790,7975016,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells,Virus reference,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/025/SRR29692425/SRR29692425.fastq.gz,bab277ffff82553ec2ef0d551efc775c,329453084
